AGE,VersatilityRating,MatchupDifficulty,CraftedDPM,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,source,season
32,54.0,64.7,-0.9 17%,Malcolm Brogdon,WAS,PG,craftednba,2024-25
28,53.8,69.0,0 57%,Max Strus,CLE,SG,craftednba,2024-25
31,53.6,82.3,-1.6 9%,Bradley Beal,PHX,SG,craftednba,2024-25
21,53.4,35.8,-0.9 10%,Jalen Hood-Schifino,PHI,PG,craftednba,2024-25
33,53.1,53.2,-1.8 4%,CJ McCollum,NOP,SG,craftednba,2024-25
21,52.9,71.9,1.5 86%,Cason Wallace,OKC,PG,craftednba,2024-25
27,52.7,41.8,-0.4 36%,Ty Jerome,CLE,PG,craftednba,2024-25
26,52.5,62.1,-1 17%,Austin Reaves,LAL,SG,craftednba,2024-25
27,52.2,46.4,-0.7 25%,Brandon Ingram,TOR,SF,craftednba,2024-25
24,52.0,41.3,0.2 55%,Vít Krejčí,ATL,SF,craftednba,2024-25
24,51.8,68.4,-1 11%,Damion Baugh,CHA,SG,craftednba,2024-25
24,51.6,56.7,-1.7 6%,Tyrese Maxey,PHI,PG,craftednba,2024-25
27,51.3,55.7,-1.2 11%,Amir Coffey,LAC,SF,craftednba,2024-25
25,51.1,33.0,-2.6 1%,Corey Kispert,WAS,SF,craftednba,2024-25
30,50.9,44.5,0 51%,Elfrid Payton,NOP,PG,craftednba,2024-25
26,50.7,61.9,0.1 53%,Desmond Bane,MEM,SG,craftednba,2024-25
22,50.4,23.4,-0.6 34%,Caleb Houstan,ORL,SG,craftednba,2024-25
24,50.2,15.3,-0.1 57%,Baylor Scheierman,BOS,SG,craftednba,2024-25
31,50.0,41.5,-1.1 14%,Vasilije Micić,PHX,PG,craftednba,2024-25
30,49.8,56.2,-0.7 28%,Julius Randle,MIN,PF,craftednba,2024-25
24,49.6,59.3,-0.9 15%,Quentin Grimes,PHI,SG,craftednba,2024-25
20,49.3,62.1,-1.3 9%,Isaiah Collier,UTA,PG,craftednba,2024-25
24,49.1,54.1,-1.7 8%,RJ Barrett,TOR,SF,craftednba,2024-25
21,48.9,63.1,1.2 85%,Anthony Black,ORL,PG,craftednba,2024-25
35,48.7,35.7,-1 16%,DeMar DeRozan,SAC,SF,craftednba,2024-25
21,48.4,29.0,-2.2 2%,Malaki Branham,SAS,SG,craftednba,2024-25
24,48.2,38.9,-0.6 29%,Jared Butler,PHI,SG,craftednba,2024-25
22,48.0,59.9,0.6 76%,Dalen Terry,CHI,SG,craftednba,2024-25
25,47.8,41.1,0 52%,Jalen Pickett,DEN,PG,craftednba,2024-25
32,47.5,39.4,-0.1 54%,Bogdan Bogdanović,LAC,SG,craftednba,2024-25
28,47.3,42.1,0.2 66%,Donovan Mitchell,CLE,SG,craftednba,2024-25
30,47.1,49.2,0.4 69%,Pascal Siakam,IND,PF,craftednba,2024-25
22,46.9,33.3,0.4 68%,Ajay Mitchell,OKC,SG,craftednba,2024-25
22,46.6,52.3,-1.2 14%,Brandon Miller,CHA,SF,craftednba,2024-25
20,46.4,44.5,-1.7 5%,Scoot Henderson,POR,PG,craftednba,2024-25
32,46.2,66.9,-0.5 38%,Kyrie Irving,DAL,PG,craftednba,2024-25
27,46.0,78.1,1.9 91%,Lonzo Ball,CHI,PG,craftednba,2024-25
24,45.7,93.7,0 56%,Josh Green,CHA,SG,craftednba,2024-25
20,45.5,48.3,-2.7 4%,Nick Smith Jr.,CHA,SG,craftednba,2024-25
22,45.3,70.3,-0.6 24%,Keon Johnson,BKN,SG,craftednba,2024-25
28,45.1,66.3,0.2 59%,Gabe Vincent,LAL,SG,craftednba,2024-25
30,44.8,64.2,1.6 88%,Derrick White,BOS,SG,craftednba,2024-25
25,44.6,51.1,0 67%,AJ Green,MIL,SG,craftednba,2024-25
21,44.4,95.6,1.8 91%,Dyson Daniels,ATL,SG,craftednba,2024-25
25,44.2,43.3,-2.4 2%,Anfernee Simons,POR,PG,craftednba,2024-25
22,43.9,53.2,-1.5 8%,Bennedict Mathurin,IND,SF,craftednba,2024-25
25,43.7,38.7,-1.7 5%,Jordan Poole,WAS,SG,craftednba,2024-25
28,43.5,33.0,-0.3 40%,Pat Spencer,GSW,SG,craftednba,2024-25
28,43.3,84.0,-0.8 22%,Dejounte Murray,NOP,PG,craftednba,2024-25
22,43.0,48.4,-1.7 5%,Jalen Green,HOU,SG,craftednba,2024-25
31,42.6,48.4,-0.3 46%,Norman Powell,LAC,SG,craftednba,2024-25
25,42.4,42.9,-1.9 4%,Coby White,CHI,PG,craftednba,2024-25
27,42.2,51.4,-0.2 40%,Lindy Waters III,DET,SG,craftednba,2024-25
36,41.9,49.9,-0.4 39%,Kevin Durant,PHX,PF,craftednba,2024-25
36,41.7,40.9,-0.9 20%,Stephen Curry,GSW,PG,craftednba,2024-25
32,41.5,53.9,-2.5 1%,Jordan Clarkson,UTA,SG,craftednba,2024-25
22,41.3,48.4,-0.6 30%,Paolo Banchero,ORL,PF,craftednba,2024-25
26,41.0,64.9,0.2 62%,Grant Williams,CHA,PF,craftednba,2024-25
29,40.8,44.7,-0.7 23%,Grayson Allen,PHX,SG,craftednba,2024-25
24,40.6,53.7,-1.3 10%,Devin Vassell,SAS,SG,craftednba,2024-25
23,40.4,92.7,0 42%,Andre Jackson Jr.,MIL,SF,craftednba,2024-25
20,40.1,18.1,-0.9 12%,Dariq Whitehead,BKN,SG,craftednba,2024-25
22,39.9,52.6,-1.2 11%,KJ Simpson,CHA,PG,craftednba,2024-25
24,39.5,22.8,-0.3 42%,A.J. Lawson,TOR,SG,craftednba,2024-25
26,39.2,55.1,-0.6 34%,Quenton Jackson,IND,PG,craftednba,2024-25
25,39.0,37.9,0.1 60%,Isaiah Joe,OKC,SG,craftednba,2024-25
21,38.8,28.3,-1 14%,Jett Howard,ORL,SF,craftednba,2024-25
23,38.6,76.8,2.2 93%,Jalen Suggs,ORL,PG,craftednba,2024-25
20,38.3,37.5,0.2 56%,Reed Sheppard,HOU,PG,craftednba,2024-25
33,38.1,27.1,-2.2 2%,Doug McDermott,SAC,SF,craftednba,2024-25
25,37.9,58.3,0.1 48%,Ja Morant,MEM,PG,craftednba,2024-25
30,37.7,32.2,-0.7 25%,Duncan Robinson,MIA,SF,craftednba,2024-25
29,37.4,39.1,-0.1 47%,Bobby Portis,MIL,PF,craftednba,2024-25
24,37.2,26.8,-0.6 21%,Keion Brooks Jr.,NOP,SF,craftednba,2024-25
22,37.0,33.8,-1.7 6%,Julian Strawther,DEN,SF,craftednba,2024-25
32,36.8,60.2,-1.1 10%,Tim Hardaway Jr.,DET,SG,craftednba,2024-25
23,36.5,50.9,-0.9 20%,Tre Mann,CHA,PG,craftednba,2024-25
23,36.3,84.4,0 58%,Christian Braun,DEN,SF,craftednba,2024-25
21,36.1,50.3,-1.8 6%,Gradey Dick,TOR,SG,craftednba,2024-25
27,35.9,65.4,-0.6 29%,De'Aaron Fox,SAS,PG,craftednba,2024-25
20,35.7,87.8,-1.9 3%,Stephon Castle,SAS,SG,craftednba,2024-25
28,35.4,82.6,-0.2 45%,Mikal Bridges,NYK,SF,craftednba,2024-25
20,35.2,13.4,0.6 70%,Johnny Furphy,IND,SF,craftednba,2024-25
28,35.0,43.5,0.2 56%,Donte DiVincenzo,MIN,SG,craftednba,2024-25
26,34.8,65.2,0.7 73%,Nickeil Alexander-Walker,MIN,SG,craftednba,2024-25
25,34.5,79.2,-1 15%,Ayo Dosunmu,CHI,SG,craftednba,2024-25
25,34.3,42.7,0.2 62%,Precious Achiuwa,NYK,PF,craftednba,2024-25
19,34.1,58.8,-0.4 35%,Bub Carrington,WAS,SG,craftednba,2024-25
24,33.9,25.1,-1.4 9%,Antonio Reeves,NOP,SG,craftednba,2024-25
22,33.6,55.3,3.2 99%,Chet Holmgren,OKC,C,craftednba,2024-25
37,33.4,50.0,1.2 82%,Mike Conley,MIN,PG,craftednba,2024-25
28,33.2,34.1,-0.5 32%,Garrison Mathews,ATL,SG,craftednba,2024-25
28,33.0,39.4,-1.5 7%,Jalen Brunson,NYK,PG,craftednba,2024-25
24,32.7,35.3,-0.4 37%,Craig Porter Jr.,CLE,PG,craftednba,2024-25
33,32.5,38.4,0.2 60%,Alec Burks,MIA,SG,craftednba,2024-25
25,32.3,55.6,-0.2 30%,Collin Gillespie,PHX,PG,craftednba,2024-25
32,32.1,88.1,1.3 84%,Gary Payton II,GSW,SG,craftednba,2024-25
34,31.8,44.9,-1 19%,Damian Lillard,MIL,PG,craftednba,2024-25
31,31.6,76.8,1.8 91%,Kentavious Caldwell-Pope,ORL,SG,craftednba,2024-25
23,31.4,44.3,0.1 65%,Reece Beekman,BKN,PG,craftednba,2024-25
