AGE_x,MP,PLAYER_NAME,PLUSMINUS,LT_06_PCT,FREQ,TEAM_ABBREVIATION_x,season,source_x,POSITION_x,AGE_y,DLEBRON,DDRIP,DDARKO,DBPM,CraftedDPM_x,TEAM_ABBREVIATION_y,source_y,POSITION_y,AGE,VersatilityRating,MatchupDifficulty,CraftedDPM_y,TEAM_ABBREVIATION,POSITION,source
,,Dwight Powell,,,,,2023-24,,,33.0,1.3,0.8,2.6,1.5,2.2 92%,DAL,craftednba,C,33,30.9,35.8,2.2 92%,DAL,C,craftednba
,,Dyson Daniels,,,,,2023-24,,,21.0,1.5,1.9,0.7,2.6,1.8 91%,ATL,craftednba,SG,21,44.4,95.6,1.8 91%,ATL,SG,craftednba
,,Elfrid Payton,,,,,2023-24,,,,,,,,,,,,30,50.9,44.5,0 51%,NOP,PG,craftednba
,,Eric Gordon,,,,,2023-24,,,,,,,,,,,,36,77.4,45.9,-0.9 20%,PHI,SG,craftednba
23.0,2167.0,Evan Mobley,-8.8%,54.4%,41.7%,CLE,2023-24,craftednba,PF,23.0,1.7,1.4,1.0,1.5,2.2 94%,CLE,craftednba,PF,23,63.9,49.3,2.2 94%,CLE,PF,craftednba
,,Franz Wagner,,,,,2023-24,,,,,,,,,,,,23,64.8,61.0,0.9 79%,ORL,SF,craftednba
,,Fred VanVleet,,,,,2023-24,,,30.0,0.7,1.2,1.4,1.3,1.9 91%,HOU,craftednba,PG,30,30.0,74.0,1.9 91%,HOU,PG,craftednba
,,GG Jackson,,,,,2023-24,,,,,,,,,,,,20,84.8,50.9,-1.6 7%,MEM,PF,craftednba
,,Gabe Vincent,,,,,2023-24,,,,,,,,,,,,28,45.1,66.3,0.2 59%,LAL,SG,craftednba
,,Garrison Mathews,,,,,2023-24,,,,,,,,,,,,28,33.2,34.1,-0.5 32%,ATL,SG,craftednba
,,Gary Harris,,,,,2023-24,,,,,,,,,,,,30,22.9,53.7,1.1 81%,ORL,SG,craftednba
,,Gary Payton II,,,,,2023-24,,,,,,,,,,,,32,32.1,88.1,1.3 84%,GSW,SG,craftednba
,,Georges Niang,,,,,2023-24,,,,,,,,,,,,31,74.2,34.6,-1.2 8%,ATL,PF,craftednba
,,Giannis Antetokounmpo,,,,,2023-24,,,30.0,0.9,1.3,2.1,2.5,2.3 96%,MIL,craftednba,PF,30,56.5,48.2,2.3 96%,MIL,PF,craftednba
,,Goga Bitadze,,,,,2023-24,,,25.0,2.6,1.2,2.0,2.8,2.8 98%,ORL,craftednba,C,25,6.3,43.6,2.8 98%,ORL,C,craftednba
,,Gradey Dick,,,,,2023-24,,,,,,,,,,,,21,36.1,50.3,-1.8 6%,TOR,SG,craftednba
,,Grant Williams,,,,,2023-24,,,,,,,,,,,,26,41.0,64.9,0.2 62%,CHA,PF,craftednba
,,Grayson Allen,,,,,2023-24,,,,,,,,,,,,29,40.8,44.7,-0.7 23%,PHX,SG,craftednba
,,Guerschon Yabusele,,,,,2023-24,,,,,,,,,,,,29,22.6,50.2,-0.9 19%,PHI,PF,craftednba
22.0,762.0,Gui Santos,-8.3%,53.4%,36.4%,GSW,2023-24,craftednba,PF,,,,,,,,,,22,89.0,42.0,0.5 70%,GSW,PF,craftednba
,,Harrison Barnes,,,,,2023-24,,,,,,,,,,,,32,68.4,58.0,-1.7 7%,SAS,PF,craftednba
,,Haywood Highsmith,,,,,2023-24,,,,,,,,,,,,28,83.6,79.9,1.6 86%,MIA,SF,craftednba
,,Herbert Jones,,,,,2023-24,,,26.0,0.2,2.1,1.7,0.2,2.7 97%,NOP,craftednba,SF,26,94.2,72.2,2.7 97%,NOP,SF,craftednba
,,Hunter Tyson,,,,,2023-24,,,,,,,,,,,,24,71.3,26.1,-0.8 22%,DEN,PF,craftednba
,,Immanuel Quickley,,,,,2023-24,,,,,,,,,,,,25,19.5,54.5,-0.1 51%,TOR,PG,craftednba
,,Isaac Jones,,,,,2023-24,,,,,,,,,,,,24,65.7,36.8,-1 18%,SAC,PF,craftednba
,,Isaac Okoro,,,,,2023-24,,,,,,,,,,,,24,78.3,70.5,0.8 77%,CLE,SF,craftednba
,,Isaiah Collier,,,,,2023-24,,,,,,,,,,,,20,49.3,62.1,-1.3 9%,UTA,PG,craftednba
,,Isaiah Hartenstein,,,,,2023-24,,,26.0,2.0,1.7,2.9,2.6,3 99%,OKC,craftednba,C,26,9.2,55.9,3 99%,OKC,C,craftednba
,,Isaiah Joe,,,,,2023-24,,,,,,,,,,,,25,39.0,37.9,0.1 60%,OKC,SG,craftednba
23.0,1434.0,Isaiah Stewart,-10.7%,52.6%,36.4%,DET,2023-24,craftednba,C,23.0,2.0,0.7,1.2,2.1,2.1 94%,DET,craftednba,C,23,4.5,47.6,2.1 94%,DET,C,craftednba
27.0,2624.0,Ivica Zubac,-9%,54.9%,34.8%,LAC,2023-24,craftednba,C,27.0,1.8,1.3,3.0,0.8,3.1 99%,LAC,craftednba,C,27,7.6,53.9,3.1 99%,LAC,C,craftednba
,,Ja Morant,,,,,2023-24,,,,,,,,,,,,25,37.9,58.3,0.1 48%,MEM,PG,craftednba
,,Ja'Kobe Walter,,,,,2023-24,,,,,,,,,,,,20,24.0,47.3,-0.7 33%,TOR,PG,craftednba
,,Jabari Smith Jr.,,,,,2023-24,,,,,,,,,,,,21,94.4,44.6,0.1 60%,HOU,PF,craftednba
,,Jabari Walker,,,,,2023-24,,,,,,,,,,,,22,70.9,27.3,0.1 59%,POR,PF,craftednba
,,Jaden Hardy,,,,,2023-24,,,,,,,,,,,,22,60.5,39.7,-1.8 3%,DAL,SG,craftednba
,,Jaden Ivey,,,,,2023-24,,,,,,,,,,,,22,27.8,75.9,-1.8 5%,DET,SG,craftednba
,,Jaden McDaniels,,,,,2023-24,,,,,,,,,,,,24,89.2,86.1,1.7 88%,MIN,SF,craftednba
,,Jaden Springer,,,,,2023-24,,,,,,,,,,,,22,56.7,41.7,0.9 74%,UTA,SG,craftednba
,,Jae'Sean Tate,,,,,2023-24,,,29.0,0.4,0.8,1.4,1.4,2.1 93%,HOU,craftednba,PF,29,99.3,37.0,2.1 93%,HOU,PF,craftednba
,,Jaime Jaquez Jr.,,,,,2023-24,,,,,,,,,,,,23,94.8,45.1,0.1 50%,MIA,SF,craftednba
,,Jake LaRavia,,,,,2023-24,,,,,,,,,,,,23,55.6,51.6,0.2 64%,SAC,SF,craftednba
,,Jakob Poeltl,,,,,2023-24,,,29.0,1.2,1.3,2.5,1.3,2.4 96%,TOR,craftednba,C,29,1.8,61.5,2.4 96%,TOR,C,craftednba
,,Jalen Brunson,,,,,2023-24,,,,,,,,,,,,28,33.0,39.4,-1.5 7%,NYK,PG,craftednba
,,Jalen Duren,,,,,2023-24,,,,,,,,,,,,21,3.4,53.1,1.1 77%,DET,C,craftednba
,,Jalen Green,,,,,2023-24,,,,,,,,,,,,22,43.0,48.4,-1.7 5%,HOU,SG,craftednba
,,Jalen Hood-Schifino,,,,,2023-24,,,,,,,,,,,,21,53.4,35.8,-0.9 10%,PHI,PG,craftednba
,,Jalen Johnson,,,,,2023-24,,,23.0,0.9,1.1,1.1,1.4,1.8 90%,ATL,craftednba,PF,23,27.6,53.1,1.8 90%,ATL,PF,craftednba
,,Jalen Pickett,,,,,2023-24,,,,,,,,,,,,25,47.8,41.1,0 52%,DEN,PG,craftednba
,,Jalen Smith,,,,,2023-24,,,,,,,,,,,,24,11.2,39.1,0.1 60%,CHI,PF,craftednba
,,Jalen Suggs,,,,,2023-24,,,23.0,0.5,1.9,1.7,1.3,2.2 93%,ORL,craftednba,PG,23,38.6,76.8,2.2 93%,ORL,PG,craftednba
,,Jalen Williams,,,,,2023-24,,,,,,,,,,,,23,98.7,55.9,1.2 81%,OKC,SG,craftednba
,,Jalen Wilson,,,,,2023-24,,,,,,,,,,,,24,83.9,52.2,-1.2 15%,BKN,SF,craftednba
,,Jamal Cain,,,,,2023-24,,,,,,,,,,,,25,86.8,41.1,-0.4 31%,NOP,SF,craftednba
,,Jamal Murray,,,,,2023-24,,,,,,,,,,,,27,60.1,55.0,-1.2 15%,DEN,PG,craftednba
,,Jamal Shead,,,,,2023-24,,,,,,,,,,,,22,15.9,57.4,-1.3 12%,TOR,PG,craftednba
,,James Harden,,,,,2023-24,,,,,,,,,,,,35,89.7,53.0,0.4 70%,LAC,SG,craftednba
,,Jamison Battle,,,,,2023-24,,,,,,,,,,,,23,23.8,27.3,-1.5 8%,TOR,SF,craftednba
,,Jarace Walker,,,,,2023-24,,,,,,,,,,,,21,67.5,44.3,0.2 63%,IND,PF,craftednba
,,Jared Butler,,,,,2023-24,,,,,,,,,,,,24,48.2,38.9,-0.6 29%,PHI,SG,craftednba
,,Jared McCain,,,,,2023-24,,,,,,,,,,,,20,67.0,49.1,-1.8 4%,PHI,SG,craftednba
25.0,2207.0,Jaren Jackson Jr.,-13.9%,49.7%,36.3%,MEM,2023-24,craftednba,PF,25.0,0.8,1.2,1.8,0.8,2.1 93%,MEM,craftednba,PF,25,62.6,51.3,2.1 93%,MEM,PF,craftednba
,,Jarred Vanderbilt,,,,,2023-24,,,,,,,,,,,,25,99.8,69.3,1.7 87%,LAL,PF,craftednba
,,Jarrett Allen,,,,,2023-24,,,26.0,1.8,1.4,2.1,1.2,2.3 94%,CLE,craftednba,C,26,9.6,54.5,2.3 94%,CLE,C,craftednba
,,Javonte Green,,,,,2023-24,,,,,,,,,,,,31,94.6,67.4,0.7 77%,CLE,SF,craftednba
24.0,1093.0,Jaxson Hayes,-8.9%,54.2%,37.8%,LAL,2023-24,craftednba,C,24.0,1.6,1.6,1.4,1.3,2.1 92%,LAL,craftednba,C,24,14.6,42.8,2.1 92%,LAL,C,craftednba
26.0,748.0,Jay Huff,-8.3%,54.5%,47.9%,MEM,2023-24,craftednba,C,,,,,,,,,,26,22.4,31.0,0.2 66%,MEM,C,craftednba
,,Jaylen Brown,,,,,2023-24,,,,,,,,,,,,28,90.4,69.8,-0.7 22%,BOS,SF,craftednba
,,Jaylen Clark,,,,,2023-24,,,,,,,,,,,,23,59.6,73.3,0.1 59%,MIN,SG,craftednba
,,Jaylen Wells,,,,,2023-24,,,,,,,,,,,,21,24.9,96.4,-1.3 12%,MEM,SF,craftednba
,,Jaylin Williams,,,,,2023-24,,,22.0,1.4,1.6,0.6,2.7,1.7 90%,OKC,craftednba,C,22,15.0,27.8,1.7 90%,OKC,C,craftednba
,,Jaylon Tyson,,,,,2023-24,,,,,,,,,,,,22,69.7,22.8,-0.6 33%,CLE,SG,craftednba
,,Jayson Tatum,,,,,2023-24,,,,,,,,,,,,26,97.1,50.2,0.7 72%,BOS,SF,craftednba
